credit_score,income,dti,loan_amount,interest_rate,default_probability_true,default,industry_Finance,industry_Healthcare,industry_Manufacturing,industry_Retail,industry_Technology,predicted_pd,lgd,expected_loss,stressed_pd,stressed_lgd,stressed_expected_loss
709.802849180674,98154.43868829103,0.4679226523903202,34340.33291399965,0.059744651750768554,0.27776310659112546,0,False,False,True,False,False,0.10514775109228215,0.45,1624.8639499503026,0.16823640174765145,0.5625,3249.7278999006053
671.704141929729,122735.41601175326,0.4109560419495322,18385.7714040576,0.07566443987853447,0.3145785106098455,0,False,False,False,False,False,0.22716825243897334,0.45,1879.4986018209963,0.3634692039023574,0.5625,3758.997203641993
718.8613122860415,40035.81065452147,0.30715564439042087,15181.613398932313,0.056227402370001164,0.1480187366111079,0,False,True,False,False,False,0.17349559524736674,0.45,1185.2743740584222,0.2775929523957868,0.5625,2370.5487481168443
771.3817913844815,89074.23091726427,0.22236758667533113,24959.506511068575,0.0707611541108288,0.08738261091165414,0,False,True,False,False,False,0.0393479142394979,0.45,441.947034745972,0.06295666278319664,0.5625,883.8940694919443
665.9507975165999,58733.93577195432,0.38378679763363077,22957.784529700857,0.023191559991386435,0.2888679536570516,1,False,False,False,False,False,0.3693725740715501,0.45,3815.989185022028,0.5909961185144802,0.5625,7631.978370044056
665.9517825830492,62821.86540588259,0.34721824625060993,19561.263408072697,0.08639881122118816,0.29179891737412095,0,False,False,True,False,False,0.28437325778671346,0.45,2503.2150907999476,0.4549972124587416,0.5625,5006.430181599897
774.7527689304435,60190.15189402827,0.40742318640332786,33356.64936948058,0.08003616426086672,0.1352524319462525,0,False,False,False,False,True,0.05579486967407086,0.45,837.5084569502311,0.08927179147851338,0.5625,1675.0169139004624
726.0460837491745,53400.230758004596,0.37622061620183633,36463.66250284613,0.055487341067954284,0.21605418889228323,0,False,False,False,False,False,0.16143161380651222,0.45,2648.8745474087054,0.25829058209041955,0.5625,5297.749094817411
651.8315368439029,76213.04069862068,0.4259463258383202,26060.882635502167,0.09977737005297216,0.4028729586113697,1,False,False,False,False,False,0.3801943237608866,0.45,4458.6898425974605,0.6083109180174185,0.5625,8917.379685194921
712.5536026151578,54226.24708972406,0.23577177461273183,42730.36097266314,0.10812710412879675,0.2167984979972427,0,False,False,False,False,False,0.15685476933092068,0.45,3016.107411207324,0.2509676309294731,0.5625,6032.214822414648
652.1949384312522,81761.42064449597,0.4580872878761191,11299.73063039794,0.03177320406893078,0.3061003750700411,0,False,True,False,False,False,0.3188982534964301,0.45,1621.5589633563081,0.5102372055942882,0.5625,3243.1179267126167
652.0562147857846,73744.04726377157,0.32371195256308793,22676.08648864338,0.05711825664301357,0.31795915138067643,0,False,False,False,True,False,0.3412796364276411,0.45,3482.4989486006807,0.5460474182842258,0.5625,6964.997897201361
694.517736293962,69026.29882833976,0.5490313047150318,16398.132152766342,0.056925729506381056,0.28133673941877396,0,False,False,False,False,True,0.2259421350005301,0.45,1667.26304487759,0.3615074160008482,0.5625,3334.52608975518
565.2031853205322,52310.90844896005,0.21729746182925186,3000.0,0.051802906966734064,0.38381667909327283,0,False,False,True,False,False,0.7136659913255801,0.45,963.4490882895332,1.0,0.5625,1687.5
576.504930049218,60580.716735791684,0.5083156563798299,24007.83176988761,0.10488424525795245,0.6249168565089068,0,False,False,True,False,False,0.6507939170748807,0.45,7030.867895099966,1.0,0.5625,13504.40537056178
646.2627482455416,93884.7806456439,0.3237492940155177,23539.029899400597,0.0741852158368159,0.3440475784543841,0,False,False,False,True,False,0.30962598736565583,0.45,3279.732918404222,0.49540157978504934,0.5625,6559.465836808444
619.2301327799346,87522.92969060953,0.2218298395662662,43161.39691890557,0.07206455476068167,0.3799126268953735,0,False,False,False,False,False,0.3503954891111304,0.45,6805.601452853799,0.5606327825778087,0.5625,13611.2029057076
698.8548399557164,50561.11888003622,0.2419336999134814,32569.74021465733,0.02,0.15472446678259782,0,False,False,False,False,True,0.15360570025409004,0.45,2251.3039887448062,0.24576912040654408,0.5625,4502.6079774896125
625.5185554687273,77483.30763573064,0.2615583230166816,12709.75810804954,0.0990625409062768,0.3258524036433835,0,False,False,True,False,False,0.39587858869350245,0.45,2264.184496102703,0.633405741909604,0.5625,4528.368992205406
595.2617779198825,93784.67808429472,0.35089991356822997,47249.11079601026,0.04282224815439583,0.46147398024642583,0,True,False,False,False,False,0.4123924128454432,0.45,8768.328662685757,0.6598278605527091,0.5625,17536.657325371514
767.9389261352933,33264.86797196571,0.36274025856425995,39652.40434630423,0.08179797890798986,0.15701330410303768,0,False,False,True,False,False,0.07429891859743609,0.45,1325.7588432234058,0.11887826975589776,0.5625,2651.5176864468117
