credit_score,income,dti,loan_amount,interest_rate,default_probability_true,default,industry_Finance,industry_Healthcare,industry_Manufacturing,industry_Retail,industry_Technology
709.802849180674,98154.43868829103,0.4679226523903202,34340.33291399965,0.059744651750768554,0.27776310659112546,0,False,False,True,False,False
671.704141929729,122735.41601175326,0.4109560419495322,18385.7714040576,0.07566443987853447,0.3145785106098455,0,False,False,False,False,False
718.8613122860415,40035.81065452147,0.30715564439042087,15181.613398932313,0.056227402370001164,0.1480187366111079,0,False,True,False,False,False
771.3817913844815,89074.23091726427,0.22236758667533113,24959.506511068575,0.0707611541108288,0.08738261091165414,0,False,True,False,False,False
665.9507975165999,58733.93577195432,0.38378679763363077,22957.784529700857,0.023191559991386435,0.2888679536570516,1,False,False,False,False,False
665.9517825830492,62821.86540588259,0.34721824625060993,19561.263408072697,0.08639881122118816,0.29179891737412095,0,False,False,True,False,False
774.7527689304435,60190.15189402827,0.40742318640332786,33356.64936948058,0.08003616426086672,0.1352524319462525,0,False,False,False,False,True
726.0460837491745,53400.230758004596,0.37622061620183633,36463.66250284613,0.055487341067954284,0.21605418889228323,0,False,False,False,False,False
651.8315368439029,76213.04069862068,0.4259463258383202,26060.882635502167,0.09977737005297216,0.4028729586113697,1,False,False,False,False,False
712.5536026151578,54226.24708972406,0.23577177461273183,42730.36097266314,0.10812710412879675,0.2167984979972427,0,False,False,False,False,False
652.1949384312522,81761.42064449597,0.4580872878761191,11299.73063039794,0.03177320406893078,0.3061003750700411,0,False,True,False,False,False
652.0562147857846,73744.04726377157,0.32371195256308793,22676.08648864338,0.05711825664301357,0.31795915138067643,0,False,False,False,True,False
694.517736293962,69026.29882833976,0.5490313047150318,16398.132152766342,0.056925729506381056,0.28133673941877396,0,False,False,False,False,True
565.2031853205322,52310.90844896005,0.21729746182925186,3000.0,0.051802906966734064,0.38381667909327283,0,False,False,True,False,False
576.504930049218,60580.716735791684,0.5083156563798299,24007.83176988761,0.10488424525795245,0.6249168565089068,0,False,False,True,False,False
